ticketNo,price,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18,line19,line18,line19,line20,line21,line22,line23,line24,line25,line26,line27,line28,line29,line30,line31,line32,line33,line34,
50,385,Ganethanna,Kumarakanda Handiya,,,,Ussaapitiya,,,Anwaram,Pahala Kadugannawa,Ganethanna,Kahatapitiya,Farmgarden,Mundalama Hospital,Mundalama Hospital,Mundalama Hospital,Adammana,Adammana,,,Mundalama Hospital,Hospital Junction,Ganethanna,Ganethanna,Ganethanna,Moragaswewa,Yaggapitiya,Yaggapitiya,Yaggapitiya,Pothuhera,Yaggapitiya,Yaggapitiya,Yaggapitiya,Ganethanna,Ballapana Handiya,Ganethanna,
51,390,Pahala Kadugannawa,Dodanduwa,,,,Alupotha,,,Mawanella,Kadugannawa,Pahala Kadugannawa,Maanampitigama,Hospital Junction,Mundalama,Mundalama,Mundalama,Serukale,Serukale,,,Mundalama,Mathale,Pahala Kadugannawa,Pahala Kadugannawa,Pahala Kadugannawa,,Thorayaya,Thorayaya,Thorayaya,Dambokka,Thorayaya,Thorayaya,Thorayaya,Pahala Kadugannawa,Galigamuwa,Pahala Kadugannawa,
52,398,Kadugannawa,Rathgama,,,,Polambeegoda,,,Beligammana,Henawala,Kadugannawa,Apegama Handiya,Rathnapura Bus Halt,Katanahenawatta,Katanahenawatta,Katanahenawatta,Siyambalagaswewa,Siyambalagaswewa,,,Katanahenawatta,Alu Viharaya,Kadugannawa,Kadugannawa,Kadugannawa,Ambagasawewa,Kiriwawula,Kiriwawula,Kiriwawula,Wanduragala,Kiriwawula,Kiriwawula,Kiriwawula,Kadugannawa,Ambanpitiya,Kadugannawa,
53,404,Henawala,Bussa Army Camp,,,,Gawilipitiya,,,Higula,Pilimathalawa,Henawala,Waaniyawela Ambalama,Rathnapura Deport,Nawadankulama,Nawadankulama,Nawadankulama,Naagawila,Naagawila,,,Nawadankulama,Thotagamuwa,Henawala,Henawala,Henawala,,Daeduru oya,Daeduru oya,Daeduru oya,Wahara,Daeduru oya,Daeduru oya,Daeduru oya,Henawala,Ranwala Handiya,Henawala,
54,411,Pilimathalawa,Ginthota,,,,Dippitiya,,,Ganethanna,Ambilmigama,Pilimathalawa,Duunawatta,Batugedara School Halt,Mangalaeliya,Mangalaeliya,Mangalaeliya,Andigama,Andigama,,,Mangalaeliya,Palapathwala,Pilimathalawa,Pilimathalawa,Pilimathalawa,,Pannala,Pannala,Pannala,,Pannala,Pannala,Pannala,Pilimathalawa,Kegalle,Pilimathalawa,
55,419,Ambilmigama,Ginthota Deport,,,,Habalanthota Handiya,,,Pahala Kadugannawa,Kiribathkumbura,Ambilmigama,Baddegama,Thiriwana Katiya Handiya,Ambaweli Bridge,Ambaweli Bridge,Ambaweli Bridge,Garaayakgama,Garaayakgama,,,Ambaweli Bridge,Kawatayamuna,Ambilmigama,Ambilmigama,Ambilmigama,,Ihbbagamuwa,Ihbbagamuwa,Ihbbagamuwa,Kurunegala,Ihbbagamuwa,Ihbbagamuwa,Ihbbagamuwa,Ambilmigama,Meepitiya,Ambilmigama,
56,425,Kiribathkumbura,Maha Modara,,,,Thalgaspitiya,,,Kadugannawa,Peradeniya,Kiribathkumbura,,Palwaadiya,10th Milepost,10th Milepost,10th Milepost,Mudalakkuliya,Mudalakkuliya,,,10th Milepost,Kawudulu Pelella,Kiribathkumbura,Kiribathkumbura,Kiribathkumbura,,Thalgodapitiya,Thalgodapitiya,Thalgodapitiya,Polattapitiya,Thalgodapitiya,Thalgodapitiya,Thalgodapitiya,Kiribathkumbura,Karandupotha,Kiribathkumbura,
57,432,Peradeniya,Galle,,,,Pethigammana 1st Milepost,,,Henawala,Gatambe,Peradeniya,,Pathulpaana School Halt,Madurankuliya,Madurankuliya,Madurankuliya,Sangattikulama,Sangattikulama,,,Madurankuliya,Mathale North,Peradeniya,Peradeniya,Peradeniya,Batu Oya,Ipalawa,Ipalawa,Ipalawa,,Ipalawa,Ipalawa,Ipalawa,Peradeniya,Molagoda,Peradeniya,
58,438,Gatambe,Moodaela,,,,Hemmathagama,,,Pilimathalawa,Mulgampola,Gatambe,,Welimaluwa,Semmbatta Church,Semmbatta Church,Semmbatta Church,Uthpalawatta,Uthpalawatta,,,Semmbatta Church,Madawala Ulpatha,Gatambe,Gatambe,Gatambe,Minneriya Railway Station,Polgolla,Polgolla,Polgolla,Yaggapitiya,Polgolla,Polgolla,Polgolla,Angunawala,Mangalagama,Gatambe,
59,446,Mulgampola,Dewata Handiya,,,,,,,Ambilmigama,Kandy,Mulgampola,,Lellupitiya Handiya,Kariikattiya,Kariikattiya,Kariikattiya,Kumaragama,Kumaragama,,,Kariikattiya,Koholanwala,Mulgampola,Mulgampola,Mulgampola,,Gokarella,Gokarella,Gokarella,Thorayaya,Gokarella,Gokarella,Gokarella,Kossinna,Uthuwankanda,Mulgampola,
60,452,Kandy,Unawatuna,,,,,,,Kiribathkumbura,,Kandy,,Dippitigala,Naagawilluwa,Naagawilluwa,Naagawilluwa,Kothwalakanda,Kothwalakanda,,,Naagawilluwa,Udu Deniya,Kandy,Kandy,Kandy,Minneriya,Ambanpola,Ambanpola,Ambanpola,Kiriwawula,Ambanpola,Ambanpola,Ambanpola,Gelioya,Anwaram,Kandy,
61,457,,Dalawella,,,,,,,Peradeniya,,Swiss Hotel,,Paathakada,Paalawiya Handiya,Paalawiya Handiya,Paalawiya Handiya,Anamaduwa,Anamaduwa,,,Paalawiya Handiya,Nalanda,Swiss Hotel,Swiss Hotel,Swiss Hotel,Rajaela Junction,Melsiripura,Melsiripura,Melsiripura,Daeduru oya,Melsiripura,Melsiripura,Melsiripura,Waeligalla,Mawanella,Swiss Hotel,
62,463,,Talpe,,,,,,,Gatambe,,Buuwalikada,,Ganeegama,Thilladi,Thilladi,Thilladi,,Kudawewa Handiya,,,Thilladi,Dumgamwela,Buuwalikada,Buuwalikada,Buuwalikada,CP Pura,Diyatura,Diyatura,Diyatura,Pannala,Diyatura,Diyatura,Diyatura,Galagediyaawa,Beligammana,Buuwalikada,
63,471,,Habaraduwa,,,,,,,Mulgampola,,Thannekumbura,,Pelmadulla,Lung Hospital,Lung Hospital,Lung Hospital,,Periyakulama Temple Junction,,,Lung Hospital,Arangala,Thannekumbura,Thannekumbura,Thannekumbura,Giritale Tank,Na bata,Na bata,Na bata,Ihbbagamuwa,Na bata,Na bata,Na bata,Bothalapitiya,Higula,Thannekumbura,
64,476,,Koggala,,,,,,,Kandy,,Kundasale,,Batalanda,Puttalama Bus Stand,Puttalama Bus Stand,Puttalama Bus Stand,,Thalgaswewa,,,Puttalama Bus Stand,Naula Bus Stop,Kundasale,Kundasale,Kundasale,Giritale Gam School,Kuuratiya,Kuuratiya,Kuuratiya,Thalgodapitiya,Kuuratiya,Kuuratiya,Kuuratiya,Gampola,Ganethanna,Kundasale,
65,484,,Kathaluwa,,,,,,,,,Gammudawa,,Panawenna,Seenkudi irappu,Seenkudi irappu,Seenkudi irappu,,Labugala Rajamaha Viharaya,,,Seenkudi irappu,Modella Primary School,Gammudawa,Gammudawa,Gammudawa,Jayanthipura Junction,Omaragolla Handiya,Omaragolla Handiya,Omaragolla Handiya,Ipalawa,Omaragolla Handiya,Omaragolla Handiya,Omaragolla Handiya,Mariyawattha Kadevidiya,Pahala Kadugannawa,Gammudawa,
66,490,,Wallheengoda,,,,,,,,,Pallekale Army Camp,,Ketetanna,3rd Milepost,3rd Milepost,3rd Milepost,,Merungoda,,,3rd Milepost,Mahaweli Junction,Pallekale Army Camp,Pallekale Army Camp,Pallekale Army Camp,Nikawewa,Beligamuwa,Beligamuwa,Beligamuwa,Polgolla,Beligamuwa,Beligamuwa,Beligamuwa,Ethgala Sri Bodhirajaramaya,Kadugannawa,Pallekale Army Camp,
67,497,,Ahangama,,,,,,,,,Balagolla,,Kahawatta Bus Halt,4th Milepost,4th Milepost,4th Milepost,,Mahauswewa,,,4th Milepost,Lenadora Maliyadeva Viharaya,Balagolla,Balagolla,Balagolla,Badiwewa,Kanaadana,Kanaadana,Kanaadana,Gokarella,Kanaadana,Kanaadana,Kanaadana,Lakshapilla,Henawala,Balagolla,
68,503,,Gowiyapaana,,,,,,,,,Kengalla,,Yaainna Handiya,6th Milepost,6th Milepost,6th Milepost,,Welewewa,,,6th Milepost,Pannampitiya Vidyalaya,Kengala,Kengala,Kengala,Gal Viharaya Junction,Galewela,Galewela,Galewela,Ambanpola,Galewela,Galewela,Galewela,Thambiligalawatta Para,Pilimathalawa,Kengala,
69,511,,Midigama,,,,,,,,,Kalasirigama Handiya,,Ellagewatta Handiya,7th Milepost,7th Milepost,7th Milepost,,Mullegama,,,7th Milepost,40th Milepost,Digana,Digana,Digana,Polonnaruwa,Puwakpitiya,Puwakpitiya,Puwakpitiya,Melsiripura,Puwakpitiya,Puwakpitiya,Puwakpitiya,Ulapane Kadevidiya,Ambilmigama,Digana,
70,517,,Kumbalgama,,,,,,,,,Menikhinna,,Ambalanwatta,8th Milepost,8th Milepost,8th Milepost,,Nawagaththegama,,,8th Milepost,Dhambulu Oya,Gonawala School Halt,Gonawala School Halt,Gonawala School Halt,Kuruppu Junction,Kolombagolla,Kolombagolla,Kolombagolla,Diyatura,Kolombagolla,Kolombagolla,Kolombagolla,Pallegama Nandaramaya,Kiribathkumbura,Gonawala School Halt,
71,524,,Weligama,,,,,,,,,,,Maadampe Handiya,9th Milepost,9th Milepost,9th Milepost,,Kirimatiyaawa,,,9th Milepost,Kapuwattha,Gomagoda Bo Tree,Gomagoda Bo Tree,Gomagoda Bo Tree,Palugasdamana,Yatigalapoththa,Yatigalapoththa,Yatigalapoththa,Na bata,Yatigalapoththa,Yatigalapoththa,Yatigalapoththa,Pattunupittya Railway Gate,Peradeniya,Gomagoda Bo Tree,
72,530,,Palaana,,,,,,,,,,,Kawuduwaawa,10th Milepost,10th Milepost,10th Milepost,,Pulleewa,,,10th Milepost,Vihara Junction,Oruthota Bo Tree,Oruthota Bo Tree,Oruthota Bo Tree,Walekada,Pahala Wewa,Pahala Wewa,Pahala Wewa,Kuuratiya,Pahala Wewa,Pahala Wewa,Pahala Wewa,Nawalapitiya Railway Gate,Gatambe,Oruthota Bo Tree,
73,538,,Polathumodara,,,,,,,,,,,Allpitiya,12th Milepost,12th Milepost,12th Milepost,,Palugaswewa,,,12th Milepost,Dambulla,Madapola,Madapola,Madapola,Kumaraswamy Wadiya,Thalkiriyagama,Thalkiriyagama,Thalkiriyagama,Omaragolla Handiya,Thalkiriyagama,Thalkiriyagama,Thalkiriyagama,Nawalapitiya,Mulgampola,Madapola,
74,543,,Mirissa,,,,,,,,,,,Malwatta,14th Milepost,14th Milepost,14th Milepost,,Nallachchiya Handiya,,,14th Milepost,Mirisgoniyawa,Theldeniya,Theldeniya,Theldeniya,Wawetanna,Ihbbankatuwa,Ihbbankatuwa,Ihbbankatuwa,Beligamuwa,Ihbbankatuwa,Ihbbankatuwa,Ihbbankatuwa,Karahandungala Para,Kandy,Theldeniya,
75,549,,Thalaramba,,,,,,,,,,,Godakawela,15th Milepost,15th Milepost,15th Milepost,,Mahaa Naanneriya Handiya,,,15th Milepost,Buulagama,Rambukkwella Rajamaha Viharaya,Rambukkwella Rajamaha Viharaya,Rambukkwella Rajamaha Viharaya,Kumbukkanara,Rangiri Dambulu Cricket Ground,Rangiri Dambulu Cricket Ground,Rangiri Dambulu Cricket Ground,Kanaadana,Rangiri Dambulu Cricket Ground,Rangiri Dambulu Cricket Ground,Rangiri Dambulu Cricket Ground,3rd Junction,,Rambukkwella Rajamaha Viharaya,
76,557,,Kamburugamuwa,,,,,,,,,,,Kossnathota,17th Milepost,17th Milepost,17th Milepost,,Pairikkulama,,,17th Milepost,Kitulhitiyawa,,,,,Dambulla,Dambulla,Dambulla,Galewela,Dambulla,Dambulla,Dambulla,Rambukpitiya Maha Vidyalaya,,,
77,562,,Walgama,,,,,,,,,,,Balawinna Town,18th Milepost,18th Milepost,18th Milepost,,Ihala Naanneriya,,,18th Milepost,Bodhiya Junction,Waagala Bo Tree,Waagala Bo Tree,Waagala Bo Tree,Tambaala,Mirisgoniyawa,Mirisgoniyawa,Mirisgoniyawa,Puwakpitiya,Mirisgoniyawa,Mirisgoniyawa,Mirisgoniyawa,Balanthota Bodhirukkharama Viharaya,,Waagala Bo Tree,
78,570,,Nuupe,,,,,,,,,,,Karuwalagaha Turn,19th Milepost,19th Milepost,19th Milepost,,Thaambare,,,19th Milepost,Madatugama,Waagala School Halt,Waagala School Halt,Waagala School Halt,Talapath Aruwa,Pelwahara Seed Farm,Buulagama,Buulagama,Kolombagolla,Buulagama,Buulagama,Buulagama,Ambagamuwa Pansala,,Waagala School Halt,
79,576,,Mathara,,,,,,,,,,,Pallebadda,21st Milepost,21st Milepost,21st Milepost,,Ihalagama Handiya,,,21st Milepost,Kotaagala,Galmaloya Vishnu Dewalaya,Galmaloya Vishnu Dewalaya,Galmaloya Vishnu Dewalaya,,Pelwahara Junior School,Kitulhitiyawa,Kitulhitiyawa,Yatigalapoththa,Kitulhitiyawa,Kitulhitiyawa,Kitulhitiyawa,Bagathuluwa Pansala,,Galmaloya Vishnu Dewalaya,
80,584,,Thudawa,,,,,,,,,,,Giradura,Kala Oya,Kala Oya,Kala Oya,,Palukandeewa,,,Kala Oya,Kailapathana Junction,Udathenna,Udathenna,Udathenna,Daelpalama,Rotarigama,Bodhiya Junction,Bodhiya Junction,Pahala Wewa,Bodhiya Junction,Bodhiya Junction,Bodhiya Junction,Ginigathhena,,Udathenna,
81,589,,Naadaagala,,,,,,,,,,,Koswatiya Bo Tree,Puttalama Junction,Puttalama Junction,Puttalama Junction,,Galgamuwa,,,Puttalama Junction,Elagamuwa,Mada Mahanuwara,Mada Mahanuwara,Mada Mahanuwara,,Inaamaluwa,Madatugama,Madatugama,Thalkiriyagama,Madatugama,Madatugama,Madatugama,Ginigathhena Council,,Mada Mahanuwara,
82,597,,Banndaththara,,,,,,,,,,,Dematagala,Thammannawa Handiya,Thammannawa Handiya,Thammannawa Handiya,,,,,Thammannawa Handiya,Korasgala,Waathalawa,Waathalawa,Waathalawa,Kamburaana,,Kotaagala,Kotaagala,Ihbbankatuwa,Kotaagala,Kotaagala,Kotaagala,Kadawala Tamil Vidyalaya,,Waathalawa,
83,603,,Thihagoda,,,,,,,,,,,Sankapaala,Pahala Maragahawewa,Pahala Maragahawewa,Pahala Maragahawewa,,,,,Pahala Maragahawewa,Kolombaawa,Gaalekale,Gaalekale,Gaalekale,Sungavila,,Kailapathana Junction,Kailapathana Junction,Rangiri Dambulu Cricket Ground,Kailapathana Junction,Kailapathana Junction,Kailapathana Junction,Diyagala Junction,,Gaalekale,
84,610,,Paloolpitiya,,,,,,,,,,,Kolambagee Aara School Halt,Willpattuwa Junction,Willpattuwa Junction,Willpattuwa Junction,,,,,Willpattuwa Junction,Kekirawa,Hunnassgiriya,Hunnassgiriya,Hunnassgiriya,Jayasingha Buddhist Center,Maagallena,Elagamuwa,Elagamuwa,Dambulla,Elagamuwa,Elagamuwa,Elagamuwa,Karalina,,Hunnassgiriya,
85,616,,Akurugoda,,,,,,,,,,,Kolambagee Aara,Nekeththegama,Nekeththegama,Nekeththegama,,,,,Nekeththegama,Deport Junction,Kewulagama Handiya,Kewulagama Handiya,Kewulagama Handiya,,Digampathana,Korasgala,Korasgala,Mirisgoniyawa,Korasgala,Korasgala,Korasgala,Watawala,,Kewulagama Handiya,
86,624,,Mapalana,,,,,,,,,,,96 KM Post,Lindawewa,Lindawewa,Lindawewa,,,,,Lindawewa,Oolukarada,Enamalpotha Handiya,Enamalpotha Handiya,Enamalpotha Handiya,,Awudangawa,Kolombaawa,Kolombaawa,Buulagama,Kolombaawa,Kolombaawa,Kolombaawa,Watawala Sinhala Vidyalaya,,Enamalpotha Handiya,
87,629,,Kamburupitiya Police,,,,,,,,,,,98 KM Post,30th Junction,30th Junction,30th Junction,,,,,30th Junction,Miriswatta 2,Kahatagollewa Bridge,Kahatagollewa Bridge,Kahatagollewa Bridge,,Hiriwadunna School Halt,Kekirawa,Kekirawa,Kitulhitiyawa,Kekirawa,Kekirawa,Kekirawa,Rossella,,Kahatagollewa Bridge,
88,637,,Kamburupitiya Bus Stand,,,,,,,,,,,99 KM Post,Nochchiyagama,Nochchiyagama,Nochchiyagama,,,,,Nochchiyagama,Thonigala,Udu Dumbara,Udu Dumbara,Udu Dumbara,,Habarana,Deport Junction,Deport Junction,Bodhiya Junction,Deport Junction,Deport Junction,Shasthraweliya,Kuilwatte,,Udu Dumbara,
89,643,,,,,,,,,,,,,Galwanguwa,Mudithaagama,Mudithaagama,Mudithaagama,,,,,Mudithaagama,Maradankadawala,,,,,Sigiriya Junction,Oolukarada,Oolukarada,Madatugama,Oolukarada,Oolukarada,Ihalagama,Woodland Bazaar,,,
90,650,,,,,,,,,,,,,Udagama Handiya,Sinharagama Handiya,Sinharagama Handiya,Sinharagama Handiya,,,,,Sinharagama Handiya,Ulankulama,Kowilmada Tobacco Warehouse,Kowilmada Tobacco Warehouse,Kowilmada Tobacco Warehouse,Somawathiya,,Miriswatta 2,Miriswatta 2,Kotaagala,Miriswatta 2,Miriswatta 2,Maduperumagama,Dimale,,Kowilmada Tobacco Warehouse,
91,656,,,,,,,,,,,,,Embilipitiya Bus Stand,Othappuwa Handiya,Othappuwa Handiya,Othappuwa Handiya,,,,,Othappuwa Handiya,Periyakulama,,,,,Moragaswewa,Thonigala,Thonigala,Kailapathana Junction,Thonigala,Thonigala,Hiripitiyagama,Malliyapu Junction,,,
92,664,,,,,,,,,,,,,1st Post Bo Tree,Galayaya Handiya,Galayaya Handiya,Galayaya Handiya,,,,,Galayaya Handiya,Wanamal Uyana,,,,,,Maradankadawala,Maradankadawala,Elagamuwa,Maradankadawala,Maradankadawala,Kunchikulama,Hatton,,,
93,670,,,,,,,,,,,,,Moraketiya School Halt,38th Junction,38th Junction,38th Junction,,,,,38th Junction,Kandupagama Handiya,Thammatiyana,Thammatiyana,Thammatiyana,,Ambagasawewa,Ulankulama,Ulankulama,Korasgala,Ulankulama,Ulankulama,Ganthiriyagama,,,Thammatiyana,
94,677,,,,,,,,,,,,,3rd Milepost,Mahabulankulama,Mahabulankulama,Mahabulankulama,,,,,Mahabulankulama,Alisthaana,,,,,,Periyakulama,Periyakulama,Kolombaawa,Periyakulama,Periyakulama,Goonapathirawa,,,,
95,683,,,,,,,,,,,,,Moraketiya Handiya,Ulukkulama,Ulukkulama,Ulukkulama,,,,,Ulukkulama,Thirappane,Pooppitiya Handiya,Pooppitiya Handiya,Pooppitiya Handiya,,,Wanamal Uyana,Wanamal Uyana,Kekirawa,Wanamal Uyana,Wanamal Uyana,Maha Iluppallama,,,Pooppitiya Handiya,
96,691,,,,,,,,,,,,,Mahaanaaga School Halt,Korakahawewa,Korakahawewa,Korakahawewa,,,,,Korakahawewa,117KM Post,,,,,,Kandupagama Handiya,Kandupagama Handiya,Deport Junction,Kandupagama Handiya,Kandupagama Handiya,Kale Diwulwewa,,,,
97,696,,,,,,,,,,,,,Uurusitana Dam,Panndulagama Army Camp,Panndulagama Army Camp,Panndulagama Army Camp,,,,,Panndulagama Army Camp,Gdhanikkulama,,,,,,Alisthaana,Alisthaana,Oolukarada,Alisthaana,Alisthaana,Galmaduwa Handiya,,,,
98,702,,,,,,,,,,,,,Hathporuwa Handiya,Kurunegala Junction,Kurunegala Junction,Kurunegala Junction,,,,,Kurunegala Junction,,,,,,Batu Oya,Thirappane,Thirappane,Miriswatta 2,Thirappane,Thirappane,Andagala Handiya,,,,
99,710,,,,,,,,,,,,,Weeriyagama,Anuradhapura Old Bus Stand,Anuradhapura Old Bus Stand,Anuradhapura Old Bus Stand,,,,,Anuradhapura Old Bus Stand,Galkulama 2,Gurulupotha School Halt,Gurulupotha School Halt,Gurulupotha School Halt,,Minneriya Railway Station,117KM Post,117KM Post,Thonigala,117KM Post,117KM Post,Katiyaawa Handiya,,,Gurulupotha School Halt,
100,716,,,,,,,,,,,,,10th Milepost,Anuradhapura New Bus Stand,Anuradhapura New Bus Stand,Anuradhapura New Bus Stand,,,,,Anuradhapura New Bus Stand,Siyambalagaswewa,Ranthalla Waterfall Rd,Ranthalla Waterfall Rd,Ranthalla Waterfall Rd,,,Gdhanikkulama,Gdhanikkulama,Maradankadawala,Gdhanikkulama,Gdhanikkulama,Eppawala,,,Ranthalla Waterfall Rd,
101,723,,,,,,,,,,,,,Galwewa Handiya,Yaapanaya Handiya,Yaapanaya Handiya,Yaapanaya Handiya,,,,,Yaapanaya Handiya,Wewaldigiliya Handiya,65/5 Bridge,65/5 Bridge,65/5 Bridge,,Minneriya,,,Ulankulama,,,Palugaswewa,,,65/5 Bridge,
102,729,,,,,,,,,,,,,Sooriyawewa,2nd Milepost,2nd Milepost,2nd Milepost,,,,,2nd Milepost,128KM Post,Ududaawa,Ududaawa,Ududaawa,,Rajaela Junction,Galkulama 2,Galkulama 2,Periyakulama,Galkulama 2,Galkulama 2,Sandaresgama,,,Ududaawa,
103,737,,,,,,,,,,,,,,Saaliyapura Army Camp,Saaliyapura Army Camp,Saaliyapura Army Camp,,,,,Saaliyapura Army Camp,Thapowanaya,Hasalaka,Hasalaka,Hasalaka,,CP Pura,Nachchaduwa Handiya,Siyambalagaswewa,Wanamal Uyana,Siyambalagaswewa,Siyambalagaswewa,Ihalawewa ,,,Hasalaka,
104,742,,,,,,,,,,,,,,Maankadawala,Maankadawala,Maankadawala,,,,,Maankadawala,Mihintale,Pallewatta School Halt,Pallewatta School Halt,Pallewatta School Halt,,Giritale Tank,Kawarakkulama Handiya,Wewaldigiliya Handiya,Kandupagama Handiya,Wewaldigiliya Handiya,Wewaldigiliya Handiya,Kiralogama,,,Pallewatta School Halt,
105,750,,,,,,,,,,,,,,Parasangahawewa,Parasangahawewa,Parasangahawewa,,,,,Parasangahawewa,University of Rajarata Hostel,Paalam Handiya,Paalam Handiya,Paalam Handiya,,Giritale Gam School,Kaleththewa ,128KM Post,Alisthaana,128KM Post,128KM Post,,,,Paalam Handiya,
106,756,,,,,,,,,,,,,,Gooneewa Handiya,Gooneewa Handiya,Gooneewa Handiya,,,,,Gooneewa Handiya,Doramadalawa Handiya,Mahiyanganaya,Mahiyanganaya,Mahiyanganaya,,Jayanthipura Junction,Kurundankulama,Thapowanaya,Thirappane,Thapowanaya,Thapowanaya,Batuwatta,,,Mahiyanganaya,
107,763,,,,,,,,,,,,,,Rambawewa,Rambawewa,Rambawewa,,,,,Rambawewa,Yaya 2 Handiya,Mahiyanganaya Hospital,Ashokaramaya,Mahiyanganaya Hospital,,Nikawewa,,Mihintale,117KM Post,Mihintale,Mihintale,Talawa,,,Mahiyanganaya Hospital,
108,769,,,,,,,,,,,,,,Rambewa,Rambewa,Rambewa,,,,,Rambewa,Walekade Handiya,Dambarawa School Halt,2 Handiya Bridge,Dambarawa School Halt,,Badiwewa,,University of Rajarata Hostel,Gdhanikkulama,University of Rajarata Hostel,University of Rajarata Hostel,Moragoda,,,Dehigolla Maha Vidyalaya,
109,777,,,,,,,,,,,,,,Weelioya Handiya,Weelioya Handiya,Weelioya Handiya,,,,,Weelioya Handiya,Rambewa,,Thalangamuwa Handiya,,,Gal Viharaya Junction,Yapanaya Handiya,Doramadalawa Handiya,,Doramadalawa Handiya,Doramadalawa Handiya,New Water Tank,,,,
110,782,,,,,,,,,,,,,,Ikirigollewa,Ikirigollewa,Ikirigollewa,,,,,Ikirigollewa,Weelioya Handiya,,Nidangala,,,Polonnaruwa,Anuradhapura Old Bus Stand,Yaya 2 Handiya,Galkulama 2,Yaya 2 Handiya,Yaya 2 Handiya,Aluthwewa,,,Arawatta Serana Vidyalaya,
111,790,,,,,,,,,,,,,,Wahamalugollewa,Wahamalugollewa,Wahamalugollewa,,,,,Wahamalugollewa,Ikirigollewa,Maapankada,Aluththarama,Maapankada,,,Anuradhapura New Bus Stand,Walekade Handiya,Siyambalagaswewa,Walekade Handiya,Walekade Handiya,Shrawasthipura,,,Orubandi Wewa,
112,796,,,,,,,,,,,,,,Sangilikanadarawa,Sangilikanadarawa,Sangilikanadarawa,,,,,Sangilikanadarawa,Wahamalugollewa,,Bathalayaya Handiya,,,,,Rambewa,Wewaldigiliya Handiya,Rambewa,Rambewa,Pahe Ela,,,Keselpotha Handiya,
113,804,,,,,,,,,,,,,,Medawachchiya,Medawachchiya,Medawachchiya,,,,,Medawachchiya,Sangilikanadarawa,Mada Yaya,Giraalagolla,Mada Yaya,,,,Weelioya Handiya,128KM Post,Weelioya Handiya,Weelioya Handiya,Kurunegala Junction,,,Rathkida Handiya,
114,809,,,,,,,,,,,,,,Medawachchiya Bus Stand,Medawachchiya Bus Stand,Medawachchiya Bus Stand,,,,,Medawachchiya Bus Stand,Medawachchiya,,Mallaththawa School Halt,,,,,Ikirigollewa,Thapowanaya,Ikirigollewa,Ikirigollewa,Anuradhapura Old Bus Stand,,,Ulhitiya Oya,
115,817,,,,,,,,,,,,,,,,Kebithigollewa Junction,,,,,Kebithigollewa Junction,Medawachchiya Bus Stand,Aanda Ulpatha,Girandurukotte,Aanda Ulpatha,,,,Wahamalugollewa,Mihintale,Wahamalugollewa,Wahamalugollewa,Anuradhapura New Bus Stand,,,Maawaragala,
116,823,,,,,,,,,,,,,,Medawachchiya Railway Station,Medawachchiya Railway Station,Ihalathammannwa,,,,,Ihalathammannwa,Kebithigollewa Junction,,Hobariyawa,Bubula,,,,Sangilikanadarawa,University of Rajarata Hostel,Sangilikanadarawa,Sangilikanadarawa,Yaapanaya Handiya,,,Dambana,
117,830,,,,,,,,,,,,,,Kadawathgama,Kadawathgama,3KM Post,,,,,3KM Post,Isinbessagala,Uuraniya Hospital,Belaganwewa Handiya,Kuruwitanna School Halt,,,,Medawachchiya,Doramadalawa Handiya,Medawachchiya,Medawachchiya,2nd Milepost,,,Wewatta,
118,836,,,,,,,,,,,,,,7KM Post,7KM Post,Mahadiwulwewa,,,,,Mahadiwulwewa,Pillayar Kovil,Ridimaliyadda,Theldeniyaya Handiya,Dambagahapitiya,,,,Medawachchiya Bus Stand,Yaya 2 Handiya,Medawachchiya Bus Stand,Medawachchiya Bus Stand,Saaliyapura Army Camp,,,Kukulapola Handiya,
119,842,,,,,,,,,,,,,,Rambakulama ,Rambakulama ,Ateweeragollewa,,,,,Ateweeragollewa,Navy Camp,Kandegama,Diyawiddagama Handiya,,,,,Kebithigollewa Junction,Walekade Handiya,,Kebithigollewa Junction,Maankadawala,,,Murungagala Rajamaha Viharaya,
120,849,,,,,,,,,,,,,,Yakawewa,Yakawewa,Kumbukgollewa,,,,,Kumbukgollewa,Poonewa,,Nawa Madagama,Puunage River,,,,Isinbessagala,Rambewa,Medawachchiya Railway Station,Isinbessagala,Parasangahawewa,,,Maadura Oya,
121,855,,,,,,,,,,,,,,Peekupu Idam,Peekupu Idam,Athaakada,,,,,Athaakada,Siyambalagaswewa 2,Haapola Handiya,Kudagama,Elapara Handiya,,,,Pillayar Kovil,Weelioya Handiya,Kadawathgama,Pillayar Kovil,Gooneewa Handiya,,,Welikumbura Temple,
122,863,,,,,,,,,,,,,,Maankulam,Maankulam,14th Milepost,,,,,14th Milepost,Mahakumbukgollewa,Malllahawa Handiya,Kudaoya Bridge,Buddankotte,,,,Navy Camp,Ikirigollewa,7KM Post,Navy Camp,Rambawewa,,,Meegaswewa,
123,869,,,,,,,,,,,,,,Neriyakulam,Neriyakulam,Irallugama Handiya,,,,,Irallugama Handiya,Galkandegama 2,,,,,,,Poonewa,Wahamalugollewa,Rambakulama ,Poonewa,Rambewa,,,,
